dataset,p_ipdr_vs_groupdro_worst,diff_ipdr_vs_groupdro_worst
breast_cancer,0.49625,-0.005847953216374287
colored_mnist,0.25,0.002266666666666639
rotated_mnist,0.25,0.03653333333333334
synthetic_spurious,0.25,-0.01763888888888876
