dataset,method,seed,mean_acc,worst_acc,test_env_accs,test_env_losses,num_classes,epochs,weight_entropy_curve,weight_max_curve,weight_min_curve
colored_mnist,erm,0,0.9154,0.9154,[0.9154],[0.23986988904476167],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,erm,1,0.9074,0.9074,[0.9074],[0.2510551866531372],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,erm,2,0.908,0.908,[0.908],[0.2729812542915344],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,erm,3,0.906,0.906,[0.906],[0.2604978957653046],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,erm,4,0.893,0.893,[0.893],[0.29009914515018465],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,groupdro,0,0.9256,0.9256,[0.9256],[0.21407454571723938],2,5,"[1.090757782642658, 1.0579579243293176, 1.027337019260113, 1.0040390285161824, 0.9879223222915943]","[0.3755989968776703, 0.44385446722690874, 0.47609755396842957, 0.4949561655521393, 0.5049465138178605]","[0.29004699049087673, 0.21659785279860863, 0.17781226336956024, 0.15455902539766753, 0.14002903092365998]"
colored_mnist,groupdro,1,0.904,0.904,[0.904],[0.25970141820907594],2,5,"[1.0907713037270765, 1.0575849138773405, 1.0271826890798716, 1.0027027015502636, 0.9839998873380514]","[0.3782072147497764, 0.45828331204561085, 0.49910414906648487, 0.5260404210824233, 0.5462115406990051]","[0.29262764293413895, 0.2276050689128729, 0.19393291553625694, 0.17295646552856153, 0.16106299712107733]"
colored_mnist,groupdro,2,0.9032,0.9032,[0.9032],[0.2803435806751251],2,5,"[1.089777776828179, 1.0567242732414832, 1.0260369089933543, 1.0025896636339335, 0.98899995134427]","[0.3807622343301773, 0.4582242277952341, 0.5018772184848785, 0.5310243987120115, 0.5456259250640869]","[0.28918373813995946, 0.22509994816321593, 0.19442195502611306, 0.17822089046239853, 0.16931715206458017]"
colored_mnist,groupdro,3,0.9158,0.9158,[0.9158],[0.23907686393260955],2,5,"[1.091277186687176, 1.0575202290828412, 1.0200237173300524, 0.9930641788702744, 0.9754228225121131]","[0.37552817738973177, 0.452937961770938, 0.5034866424707266, 0.5335809129935044, 0.5493442645439734]","[0.2925675603059622, 0.2226934008873426, 0.18385968070763808, 0.1637089355633809, 0.15073396552067536]"
colored_mnist,groupdro,4,0.9046,0.9046,[0.9046],[0.26272939460277556],2,5,"[1.0900875926017761, 1.0546876100393443, 1.0224952468505273, 1.005862378157102, 0.9977193016272324]","[0.3812582859626183, 0.4644572975543829, 0.5088687527638215, 0.5268122416276199, 0.5347122802184179]","[0.2924285542506438, 0.22615367059524244, 0.19435779463786346, 0.17972390353679657, 0.17290021651066267]"
